cle_externe,titre,description,image_url,temps_preparation,difficulte,cout_estime,calories,proteines_g,glucides_g,lipides_g,portions,source,statut_publication,regimes,allergenes,ingredients,etapes
catalogue-v1-r-041,Escalope de veau aux champignons,"Escalopes de veau et champignons dans une sauce crémeuse.",https://images.unsplash.com/photo-1569058242253-92a9c755a0ec,30,moyen,17,490,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,sans_gluten|sans_noix,lactose,Escalope de veau:4:unite;Champignons de Paris:300:g;Crème entière:200:ml;Oignon:1:unite,Saisir les escalopes puis réserver.;Faire revenir l'oignon et les champignons.;Ajouter la crème et remettre le veau quelques minutes.
catalogue-v1-r-042,Wrap halloumi et légumes grillés,"Halloumi, courgette et poivron dans une tortilla chaude.",https://images.unsplash.com/photo-1529042410759-befb1204b468,25,facile,11,480,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_noix,gluten|lactose,Halloumi:200:g;Tortillas:2:unite;Courgette:1:unite;Poivron:1:unite,Griller le halloumi et les légumes en tranches.;Réchauffer les tortillas.;Garnir puis rouler les wraps.
catalogue-v1-r-043,"Wrap houmous, avocat et concombre","Un wrap végétal frais et rapide à préparer.",https://images.unsplash.com/photo-1484723091739-30a097e8f929,10,facile,8,390,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,vegan|vegetarien|sans_lactose|sans_noix,gluten,Tortillas:2:unite;Houmous:120:g;Avocat:1:unite;Concombre:1:unite,Tartiner les tortillas de houmous.;Ajouter l'avocat et le concombre en tranches.;Rouler fermement et couper en deux.
catalogue-v1-r-044,Salade tomate mozzarella basilic,"La salade italienne classique, fraîche et colorée.",https://images.unsplash.com/photo-1482049016688-2d3e1b311543,10,facile,9,330,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,lactose,Tomate:6:unite;Mozzarella:250:g;Basilic frais:1:botte;Ail:1:unite,Trancher les tomates et la mozzarella.;Disposer en alternance sur un plat.;Ajouter le basilic et un peu d'ail finement haché.
catalogue-v1-r-045,Rösti au Gruyère et oeuf,"Un rösti croustillant garni de Gruyère et d'oeufs.",https://images.unsplash.com/photo-1473093295043-cdd812d0e601,35,facile,10,520,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,lactose|oeuf,Pommes de terre:800:g;Gruyère:160:g;Oeufs:4:unite;Oignon:1:unite,Râper les pommes de terre et l'oignon.;Former puis dorer le rösti des deux côtés.;Ajouter le Gruyère et servir avec les oeufs cuits.
catalogue-v1-r-046,Gratin poireaux pommes de terre,"Un gratin fondant de poireaux, pommes de terre et Gruyère.",https://images.unsplash.com/photo-1572449043416-55f4685c9bb7,60,facile,10,450,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,lactose,Poireau:3:unite;Pommes de terre:800:g;Crème entière:300:ml;Gruyère râpé:150:g,Précuire les pommes de terre et les poireaux.;Disposer dans un plat avec la crème.;Parsemer de Gruyère et gratiner 30 minutes.
catalogue-v1-r-047,Omelette champignons Gruyère,"Une omelette généreuse aux champignons et au Gruyère.",https://images.unsplash.com/photo-1565299624946-b28f40a0ae38,15,facile,8,380,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,oeuf|lactose,Oeufs:6:unite;Champignons de Paris:200:g;Gruyère:100:g;Oignon:1:unite,Faire revenir l'oignon et les champignons.;Battre les oeufs et les verser dans la poêle.;Ajouter le Gruyère puis plier l'omelette.
catalogue-v1-r-048,Omelette courgette feta,"Une omelette légère aux courgettes et à la feta.",https://images.unsplash.com/photo-1574484284002-952d92456975,15,facile,8,350,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,oeuf|lactose,Oeufs:6:unite;Courgette:1:unite;Feta:100:g;Oignon:1:unite,Faire revenir l'oignon et la courgette.;Ajouter les oeufs battus.;Émietter la feta et cuire jusqu'à la texture souhaitée.
catalogue-v1-r-049,Risotto au potiron,"Un risotto crémeux au potiron et au parmesan.",https://images.unsplash.com/photo-1571997478779-2adcbbe9ab2f,40,moyen,11,500,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,lactose,Riz arborio:320:g;Potiron:500:g;Parmesan:80:g;Bouillon de légumes:1:l,Cuire le potiron en petits dés.;Nacrer le riz puis ajouter le bouillon progressivement.;Incorporer le potiron et le parmesan en fin de cuisson.
catalogue-v1-r-050,Risotto asperges parmesan,"Un risotto printanier aux asperges et au parmesan.",https://images.unsplash.com/photo-1585032226651-759b368d7246,40,moyen,13,490,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,lactose,Riz arborio:320:g;Asperges vertes:400:g;Parmesan:80:g;Bouillon de légumes:1:l,Cuire brièvement les asperges et réserver.;Nacrer le riz puis ajouter le bouillon louche par louche.;Incorporer les asperges et le parmesan.
catalogue-v1-r-051,Spaghetti tomate basilic parmesan,"Des spaghetti dans une sauce tomate simple au basilic.",https://images.unsplash.com/photo-1601050690597-df0568f70950,20,facile,8,510,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_noix,gluten|lactose,Spaghetti:400:g;Sauce tomate:400:g;Basilic frais:1:botte;Parmesan:80:g,Cuire les spaghetti al dente.;Réchauffer la sauce tomate et ajouter le basilic.;Mélanger avec les pâtes et servir avec le parmesan.
catalogue-v1-r-052,Spaghetti crémeux aux champignons,"Des pâtes onctueuses aux champignons et au parmesan.",https://images.unsplash.com/photo-1600891964092-4316c288032e,25,facile,10,590,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_noix,gluten|lactose,Spaghetti:400:g;Champignons de Paris:300:g;Crème entière:250:ml;Parmesan:70:g,Cuire les spaghetti al dente.;Faire revenir les champignons puis ajouter la crème.;Mélanger avec les pâtes et le parmesan.
catalogue-v1-r-053,"Bowl pomme, yogourt et granola","Un petit-déjeuner frais à la pomme, au yogourt et au granola.",https://images.unsplash.com/photo-1517673400267-0251440c45dc,10,facile,6,360,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien,gluten|lactose,Pommes du Valais:2:unite;Yogourt nature:300:g;Granola:100:g;Cannelle:1:cc,Couper les pommes en petits dés.;Répartir le yogourt dans deux bols.;Ajouter les pommes le granola et la cannelle.
catalogue-v1-r-054,Smoothie bowl banane fruits rouges,"Un bowl fruité au yogourt, banane et fruits rouges.",https://images.unsplash.com/photo-1551218808-94e220e084d2,10,facile,6,330,,,,2,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_gluten|sans_noix,lactose,Fruits rouges surgelés:250:g;Banane:2:unite;Yogourt nature:250:g;Mangue:1:unite,Mixer les fruits rouges une banane et le yogourt.;Verser dans deux bols.;Garnir avec la seconde banane et la mangue.
catalogue-v1-r-055,Pommes rôties au granola et cannelle,"Des pommes chaudes et fondantes sous un granola croustillant.",https://images.unsplash.com/photo-1543352634-a1c51d9f1fa7,30,facile,6,310,,,,4,"coursIA (recette originale) — photo Unsplash",publiee,vegetarien|sans_lactose,gluten,Pommes du Valais:6:unite;Granola:120:g;Cannelle:1:cc;Sucre:30:g,Couper les pommes en quartiers et les disposer dans un plat.;Saupoudrer de cannelle et de sucre.;Cuire 25 minutes au four et ajouter le granola à mi-cuisson.
